Num_incidente	Servicio	Tipo_Servicio	Torre
INC002000000301	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000302	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000303	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000304	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000305	WORKPLACE	Restauraci¢n de servicio a usuario	ESS
INC002000000306	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000307	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000308	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000309	FAST ORDERING (TOMS)	Petici¢n de serv. por el usuario	BSS
INC002000000310	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000311	SUGUS	Petici¢n de serv. por el usuario	BSS
INC002000000313	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000314	WORKPLACE	Restauraci¢n de servicio a usuario	ESS
INC002000000315	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
INC002000000317	CORPORATE EMAIL	Restauraci¢n de servicio a usuario	ESS
INC002000000319	NSIM	Petici¢n de serv. por el usuario	OSS
INC002000000320	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000322	OMI RED	Petici¢n de serv. por el usuario	OSS
INC002000000323	TABLEAU	Petici¢n de serv. por el usuario	BSS
INC002000000324	OMI PLATAFORMAS	Petici¢n de serv. por el usuario	OSS
INC002000000326	NSIM	Petici¢n de serv. por el usuario	OSS
INC002000000327	TELARIX	Restauraci¢n de servicio a usuario	BSS
INC002000000328	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000329	INFINITY - SALESFORCE	Petici¢n de serv. por el usuario	BSS
INC002000000330	NSIM	Petici¢n de serv. por el usuario	OSS
INC002000000332	CUSTOMER WEB PORTAL	Petici¢n de serv. por el usuario	BSS
INC002000000333	BI_EN	Petici¢n de serv. por el usuario	BSS
INC002000000334	MEETING CALL	Restauraci¢n de servicio a usuario	ESS
INC002000000335	SUGUS	Restauraci¢n de servicio a usuario	BSS
INC002000000336	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000337	SMC TOOLS	Restauraci¢n de servicio a usuario	TICKETING TOOL
INC002000000338	GLOBAL SAP	Petici¢n de serv. por el usuario	ESS
INC002000000339	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000340	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000341	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000343	ESB (JBOSS-FUSE)	Petici¢n de serv. por el usuario	BSS
INC002000000344	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000346	WORKPLACE	Restauraci¢n de servicio a usuario	ESS
INC002000000347	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000348	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000350	FAST	Petici¢n de serv. por el usuario	BSS
INC002000000351	INFINITY - SALESFORCE	Restauraci¢n de servicio a usuario	BSS
INC002000000352	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000353	PANGEA	Restauraci¢n de servicio a usuario	OSS
INC002000000354	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000355	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000356	DATAWAREHOUSE-POWERCENTER-BO	Petici¢n de serv. por el usuario	BSS
INC002000000357	HORIZON VIEW (VDI)	Petici¢n de serv. por el usuario	INFRA
INC002000000358	OFFICE 365	Restauraci¢n de servicio a usuario	ESS
INC002000000359	SOLARWINDS	Petici¢n de serv. por el usuario	OSS
INC002000000360	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000361	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000362	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000363	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000364	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000365	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000366	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000367	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000369	ESB (JBOSS-FUSE)	Petici¢n de serv. por el usuario	BSS
INC002000000371	INFINITY - SALESFORCE	Restauraci¢n de servicio a usuario	BSS
INC002000000372	ESB (JBOSS-FUSE)	Petici¢n de serv. por el usuario	BSS
INC002000000374	SUGUS	Petici¢n de serv. por el usuario	BSS
INC002000000375	ROUTE EXPLORER (REX)	Petici¢n de serv. por el usuario	OSS
INC002000000376	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000377	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000379	DUNA	Restauraci¢n de servicio a usuario	ESS
INC002000000380	GLOBAL SAP	Petici¢n de serv. por el usuario	ESS
INC002000000381	FAST ORDERING (TOMS)	Petici¢n de serv. por el usuario	BSS
INC002000000382	SOLARWINDS	Petici¢n de serv. por el usuario	OSS
INC002000000383	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000384	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000385	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000386	TEFGAD-GLOBAL ACTIVE DIRECTORY	Petici¢n de serv. por el usuario	INFRA
INC002000000387	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000388	GLOBAL CTI	Restauraci¢n de servicio a usuario	ESS
INC002000000389	NSIM	Petici¢n de serv. por el usuario	OSS
INC002000000390	OFFICE 365	Petici¢n de serv. por el usuario	ESS
INC002000000391	WORKPLACE	Restauraci¢n de servicio a usuario	ESS
INC002000000392	OFFICE 365	Petici¢n de serv. por el usuario	ESS
INC002000000394	FAST VIRTUAL SERVICES (MANO)	Restauraci¢n de servicio a usuario	OSS
INC002000000395	DATAWAREHOUSE-POWERCENTER-BO	Restauraci¢n de servicio a usuario	BSS
INC002000000396	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000398	SOLARWINDS	Restauraci¢n de servicio a usuario	OSS
INC002000000399	SOLARWINDS	Restauraci¢n de servicio a usuario	OSS
INC002000000400	SOLARWINDS	Restauraci¢n de servicio a usuario	OSS
INC002000000401	SUGUS	Restauraci¢n de servicio a usuario	BSS
INC002000000402	TELARIX	Restauraci¢n de servicio a usuario	BSS
INC002000000404	SALVAGUARDA CONFIGURACIONES	Petici¢n de serv. por el usuario	INFRA
INC002000000405	OMI RED	Petici¢n de serv. por el usuario	OSS
INC002000000406	BI_EN_TNA	Petici¢n de serv. por el usuario	BSS
INC002000000408	FAST	Petici¢n de serv. por el usuario	BSS
INC002000000409	BI_EN_TNA	Petici¢n de serv. por el usuario	BSS
INC002000000410	FAST	Petici¢n de serv. por el usuario	BSS
INC002000000411	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000414	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000415	TELARIX	Restauraci¢n de servicio a usuario	BSS
INC002000000416	GLOBAL SAP	Restauraci¢n de servicio a usuario	ESS
INC002000000417	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000418	DUNA	Petici¢n de serv. por el usuario	ESS
INC002000000419	DATAWAREHOUSE-POWERCENTER-BO	Petici¢n de serv. por el usuario	BSS
INC002000000420	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000421	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000422	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000424	CUSTOMER WEB PORTAL	Petici¢n de serv. por el usuario	BSS
INC002000000427	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000428	ESB (JBOSS-FUSE)	Petici¢n de serv. por el usuario	BSS
INC002000000429	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000430	DEVOPS	Restauraci¢n de servicio a usuario	OSS
INC002000000431	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000432	SUGUS	Restauraci¢n de servicio a usuario	BSS
INC002000000433	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000434	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000435	SUGUS	Petici¢n de serv. por el usuario	BSS
INC002000000436	FAST	Petici¢n de serv. por el usuario	BSS
INC002000000437	SUGUS	Restauraci¢n de servicio a usuario	BSS
INC002000000439	ROUTE EXPLORER (REX)	Petici¢n de serv. por el usuario	OSS
INC002000000440	BI_EN	Petici¢n de serv. por el usuario	BSS
INC002000000441	SUGUS	Petici¢n de serv. por el usuario	BSS
INC002000000443	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000444	INFINITY - SALESFORCE	Restauraci¢n de servicio a usuario	BSS
INC002000000445	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000446	OFFICE 365	Petici¢n de serv. por el usuario	ESS
INC002000000447	TACACS AAA	Petici¢n de serv. por el usuario	INFRA
INC002000000448	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000449	DNS	Petici¢n de serv. por el usuario	INFRA
INC002000000450	INFOBLOX	Petici¢n de serv. por el usuario	INFRA
INC002000000451	INFINITY - SALESFORCE	Petici¢n de serv. por el usuario	BSS
INC002000000452	SECURITY INCIDENT	Restauraci¢n de servicio a usuario	SEGURIDAD
INC002000000453	INFINITY - SALESFORCE	Restauraci¢n de servicio a usuario	BSS
INC002000000456	TACACS AAA	Restauraci¢n de servicio a usuario	INFRA
INC002000000457	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000458	TACACS AAA	Restauraci¢n de servicio a usuario	INFRA
INC002000000459	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000460	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000461	DEVOPS	Restauraci¢n de servicio a usuario	OSS
INC002000000462	TACACS AAA	Restauraci¢n de servicio a usuario	INFRA
INC002000000463	TACACS AAA	Restauraci¢n de servicio a usuario	INFRA
INC002000000464	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000465	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000466	DUNA	Restauraci¢n de servicio a usuario	ESS
INC002000000467	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000468	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000470	TABLEAU	Petici¢n de serv. por el usuario	BSS
INC002000000471	TACACS AAA	Petici¢n de serv. por el usuario	INFRA
INC002000000472	NNMI	Petici¢n de serv. por el usuario	OSS
INC002000000473	NSIM	Petici¢n de serv. por el usuario	OSS
INC002000000474	OMI RED	Petici¢n de serv. por el usuario	OSS
INC002000000475	OMI PLATAFORMAS	Restauraci¢n de servicio a usuario	OSS
INC002000000476	OMI PLATAFORMAS	Restauraci¢n de servicio a usuario	OSS
INC002000000477	INFINITY - SALESFORCE	Petici¢n de serv. por el usuario	BSS
INC002000000478	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000479	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000480	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000481	WORKPLACE	Restauraci¢n de servicio a usuario	ESS
INC002000000482	BI_EN	Petici¢n de serv. por el usuario	BSS
INC002000000483	HERMES	Restauraci¢n de servicio a usuario	OSS
INC002000000484	DUNA	Restauraci¢n de servicio a usuario	ESS
INC002000000485	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000486	DATAWAREHOUSE-POWERCENTER-BO	Restauraci¢n de servicio a usuario	BSS
INC002000000488	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000489	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000490	DUNA	Restauraci¢n de servicio a usuario	ESS
INC002000000491	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000492	OMI PLATAFORMAS	Petici¢n de serv. por el usuario	OSS
INC002000000494	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000495	TABLEAU	Petici¢n de serv. por el usuario	BSS
INC002000000496	DUNA	Restauraci¢n de servicio a usuario	ESS
INC002000000497	WORKPLACE	Restauraci¢n de servicio a usuario	ESS
INC002000000498	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000500	OFFICE 365	Petici¢n de serv. por el usuario	ESS
INC002000000501	SERVIWEB OSS	Restauraci¢n de servicio a usuario	INFRA
INC002000000502	FAST ORDERING (TOMS)	Petici¢n de serv. por el usuario	BSS
INC002000000503	TACACS AAA	Petici¢n de serv. por el usuario	INFRA
INC002000000504	WORKPLACE	Restauraci¢n de servicio a usuario	ESS
INC002000000506	INFINITY - SALESFORCE	Petici¢n de serv. por el usuario	BSS
INC002000000507	OMI PLATAFORMAS	Restauraci¢n de servicio a usuario	OSS
INC002000000508	INFINITY - SALESFORCE	Restauraci¢n de servicio a usuario	BSS
INC002000000509	DNS	Petici¢n de serv. por el usuario	INFRA
INC002000000510	VPN CONNECT	Restauraci¢n de servicio a usuario	INFRA
INC002000000511	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000512	OFFICE 365	Restauraci¢n de servicio a usuario	ESS
INC002000000513	SMC TOOLS	Restauraci¢n de servicio a usuario	TICKETING TOOL
INC002000000514	BI_EN_TNA	Petici¢n de serv. por el usuario	BSS
INC002000000515	BI_EN_TNA	Petici¢n de serv. por el usuario	BSS
INC002000000516	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000517	ROUTE EXPLORER (REX)	Petici¢n de serv. por el usuario	OSS
INC002000000518	VPN CONNECT	Petici¢n de serv. por el usuario	INFRA
INC002000000519	GLOBAL SAP	Petici¢n de serv. por el usuario	ESS
INC002000000520	WORKPLACE	Restauraci¢n de servicio a usuario	ESS
INC002000000521	WORKPLACE	Restauraci¢n de servicio a usuario	ESS
INC002000000522	DHCP GLOBAL LAN/DHCP	Petici¢n de serv. por el usuario	INFRA
INC002000000523	TABLEAU	Petici¢n de serv. por el usuario	BSS
INC002000000524	FAST ORDERING (TOMS)	Petici¢n de serv. por el usuario	BSS
INC002000000525	MEETING CALL	Petici¢n de serv. por el usuario	ESS
INC002000000527	SOLARWINDS	Petici¢n de serv. por el usuario	OSS
INC002000000529	OFFICE 365	Restauraci¢n de servicio a usuario	ESS
INC002000000531	DNS	Petici¢n de serv. por el usuario	INFRA
INC002000000532	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000533	DUNA	Petici¢n de serv. por el usuario	ESS
INC002000000534	OFFICE 365	Petici¢n de serv. por el usuario	ESS
INC002000000535	SUGUS	Petici¢n de serv. por el usuario	BSS
INC002000000536	SOLARWINDS	Petici¢n de serv. por el usuario	OSS
INC002000000537	DUNA	Petici¢n de serv. por el usuario	ESS
INC002000000538	DUNA	Petici¢n de serv. por el usuario	ESS
INC002000000539	DNS	Petici¢n de serv. por el usuario	INFRA
INC002000000540	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000541	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000542	FAST ORDERING (TOMS)	Petici¢n de serv. por el usuario	BSS
INC002000000543	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000545	CROSS	Petici¢n de serv. por el usuario	ESS
INC002000000546	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000547	PCA	Petici¢n de serv. por el usuario	OSS
INC002000000548	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000549	DATAWAREHOUSE-POWERCENTER-BO	Petici¢n de serv. por el usuario	BSS
INC002000000550	FAST ORDERING (TOMS)	Petici¢n de serv. por el usuario	BSS
INC002000000551	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000552	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
INC002000000553	DUNA	Restauraci¢n de servicio a usuario	ESS
INC002000000554	CORPORATE EMAIL	Restauraci¢n de servicio a usuario	ESS
INC002000000555	INFINITY - SALESFORCE	Petici¢n de serv. por el usuario	BSS
INC002000000556	BI_EN	Restauraci¢n de servicio a usuario	BSS
INC002000000558	LDAP	Petici¢n de serv. por el usuario	INFRA
INC002000000559	DUNA	Petici¢n de serv. por el usuario	ESS
INC002000000560	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000561	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000562	INFINITY - SALESFORCE	Petici¢n de serv. por el usuario	BSS
INC002000000563	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000565	OFFICE 365	Restauraci¢n de servicio a usuario	ESS
INC002000000566	WORKPLACE	Restauraci¢n de servicio a usuario	ESS
INC002000000567	TABLEAU	Petici¢n de serv. por el usuario	BSS
